Sample,Label,Color,Marker,Alpha,Size,pH,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,TDS
sample1,K-1,red,o,0.6,30,7.5,3.2,7.1,11.5,1.3,14.8,0,2.2,3.5,1483
sample2,K-1,red,o,0.6,30,7.7,2.6,7,13,1.4,13.3,0,3.8,3.2,1601
sample3,K-1,red,o,0.6,30,7.3,1.2,8,12,1.3,13.9,0,2,3.4,1542
sample4,K-1,red,o,0.6,30,7.4,2.2,6.6,12.6,1.4,13.6,0,2.4,3.1,1518
sample5,K-1,red,o,0.6,30,7.3,2.5,9.6,10.3,1.1,14.3,0,2,3.4,1476
sample6,K-2,green,o,0.6,30,6.3,2.4,5.5,13.3,1.5,12.8,0,2.2,2.8,1449
sample7,K-2,green,o,0.6,30,7.3,1.2,8,12.1,1.3,11.9,0,2.8,2.3,1407
sample8,K-2,green,o,0.6,30,7.7,2,5.6,13.9,1.5,13.1,0,2.4,2,1389
sample9,K-2,green,o,0.6,30,7.8,0.4,9.4,11.9,1.3,12.7,0,2.6,2.2,1448
sample10,K-2,green,o,0.6,30,7.6,2,6,14.7,1.6,13,0,2.4,2.1,1521
sample11,K-3,blue,o,0.6,30,7.7,11.2,13,13.7,1.5,11.1,0,7.4,16.5,2465
sample12,K-3,blue,o,0.6,30,7.7,8.6,15.4,18.4,2,10.7,0,7.4,16.9,2647
sample13,K-3,blue,o,0.6,30,7.7,7.4,15.8,19.5,2.2,11,0,7.4,15.5,2574
sample14,K-3,blue,o,0.6,30,7.7,8.2,11.8,18.8,2.1,10.3,0,7.2,14.8,2488
sample15,K-3,blue,o,0.6,30,7.6,7.6,15.2,19.2,2.1,11,0,7.4,15.1,2539
sample16,K-4,yellow,o,0.6,30,7.8,7.2,6.4,11.8,1.3,10.3,0,4,12,1872
sample17,K-4,yellow,o,0.6,30,7.7,8,5.2,13.1,1.5,9.8,0,4,13.8,1966
sample18,K-4,yellow,o,0.6,30,7.8,6.4,7.6,10.2,1.1,9,0,4.2,12.1,1841
sample19,K-4,yellow,o,0.6,30,7.7,7,6,12.6,1.4,9.2,0,5.6,12.2,2034
sample20,K-4,yellow,o,0.6,30,7.6,3.6,7.6,12.8,1.4,8.9,0,4.4,12,1830
sample21,K-4,yellow,o,0.6,30,7.8,6,8,10.7,1.2,9.3,0,4.4,12.2,1896
sample22,K-6,magenta,o,0.6,30,7.8,6.1,7.6,15.8,1.8,14.8,0,6.4,9.1,2185
sample23,K-6,magenta,o,0.6,30,7.7,5.8,8.2,18.2,2,14.4,0,6.4,8.9,2213
sample24,K-6,magenta,o,0.6,30,7.6,3.4,11.2,13,1.4,9,0,6,12.4,1956
sample25,K-6,magenta,o,0.6,30,7.8,4.2,8,18,2,13.6,0,6.6,8.5,2172
sample26,K-6,magenta,o,0.6,30,7.9,0.8,9,20.8,2.3,13.5,0,6.6,9,2260
sample27,K-6,magenta,o,0.6,30,7.7,5,7.4,18.7,2.1,13.6,0,7,8.2,2199
sample28,K-7,orange,o,0.6,30,7.7,7.8,9.8,25.1,2.8,9.6,0,7,25.9,2993
sample29,K-7,orange,o,0.6,30,7.6,4.2,17.8,20.4,2.3,8.6,0,7.6,26,3005
sample30,K-7,orange,o,0.6,30,7.7,6.6,11,24.2,2.7,9,0,7.2,25.2,2959
sample31,K-8,purple,o,0.6,30,7.8,11.5,9.4,9,1,8.6,0,4.2,17.7,2097
sample32,K-8,purple,o,0.6,30,7.9,13,10.4,15.7,1.7,8.5,0,6.2,23.5,2656
sample33,K-8,purple,o,0.6,30,7.7,8.6,10.2,9.6,1.1,6.9,0,4.6,17.6,2022
sample34,K-8,purple,o,0.6,30,7.7,7.8,11,10.3,1.1,7.7,0,4.4,17.5,2111
sample35,K-8,purple,o,0.6,30,7.6,7.2,10,13.4,1.5,7.4,0,6.6,17.5,2164
sample36,K-8,purple,o,0.6,30,7.8,9.4,9.6,10.4,1.2,7.5,0,4.6,17.8,2083
sample37,K-11,brown,o,0.6,30,7.8,11.4,1.2,26.6,3,9.3,0,7.4,24.2,2941
sample38,K-12,olive,o,0.6,30,7.9,42.3,19.7,81.3,9,8,0,75.3,66.3,9629
sample39,K-12,olive,o,0.6,30,7.6,42.6,58.4,48.7,5.4,8.5,0,78,63.7,9420
sample40,K-13,red,o,0.6,30,7.9,18.4,14.8,8.6,1,9.6,0,9.2,23.5,3058
sample41,K-13a,green,o,0.6,30,7.8,12.6,26.8,27.8,3.1,16.2,0,10.4,37.9,4620
sample42,K-14,gray,o,0.6,30,7.6,6,4,12,1.3,11.5,0,3.6,7.9,1688
sample43,K-14a,cyan,o,0.6,30,7.7,10,18.8,37.6,4.2,11.7,0,13,42.8,4708
sample44,K-14a,cyan,o,0.6,30,7.7,10.6,22.4,34.7,3.9,12.3,0,12.8,43.1,4777
sample45,K-14a,cyan,o,0.6,30,7.6,6,7.2,54.6,6.1,12.6,0,14.2,44,5102
sample46,K-14a,cyan,o,0.6,30,7.6,6,12,44.8,5,11,0,12.4,42.4,4674
sample47,K-14a,cyan,o,0.6,30,7.3,10,23.6,35.8,4,12.7,0,13.8,44,5049
sample48,K-15,olive,o,0.6,30,7.8,3.1,7.2,11.4,1.3,9.9,0,5.2,3.6,1472
sample49,K-15,olive,o,0.6,30,7.4,4.4,9,10.3,1.1,10,0,5.2,3.7,1432
sample50,K-15a,limegreen,o,0.6,30,7.5,4.4,11.4,8.5,0.9,9.7,0,5.6,4,1496
sample51,K-16a,green,o,0.6,30,7.6,4,5.4,13.2,1.5,13.5,0,3.2,4.4,1722
sample52,K-17a,yellow,o,0.6,30,7.6,3,7.4,11.3,1.3,9.7,0,3.2,7.4,1610
sample53,K-18,brown,o,0.6,30,7.7,2,10.2,13.3,1.5,12.4,0,3,8.8,1839
sample54,K-19,red,o,0.6,30,7.7,5.8,18.2,23,2.6,14.5,0,10.6,17.8,3113
sample55,K-20,darkorange,o,0.6,30,7.5,5.3,6.3,5.8,0.6,3.2,0,4.2,8.2,1270
sample56,K-20,darkorange,o,0.6,30,7.6,3.2,5.4,10.4,1.2,9,0,2.8,6.4,1397
sample57,K-21,limegreen,o,0.6,30,7.7,9.6,8.6,9.8,1.1,7.2,0,5.8,13.8,1920
sample58,K-22,tan,o,0.6,30,7.8,5,11,17.6,2,12.2,0,7.8,7.1,2115
sample59,K-23,darkorange,o,0.6,30,7.6,7.6,10.2,14.9,1.7,8,0,5,17.6,2243
sample60,K-24,darkblue,o,0.6,30,7.7,18.4,12.4,18.6,2.1,9.8,0,14.8,13.1,2817
sample61,K-24,darkblue,o,0.6,30,7.7,17.2,17.4,12.2,1.4,10.7,0,9.8,12.7,2636
sample62,K-24,darkblue,o,0.6,30,7.8,15.6,14.8,15.8,1.8,10,0,10,13.4,2616
sample63,K-24,darkblue,o,0.6,30,7.7,17.4,17.8,9.4,1,9.9,0,9.4,11.7,2372
sample64,K-25,orangered,o,0.6,30,7.6,6.2,2.4,37.4,4.2,10.4,0,15.6,18.5,3278
sample65,K-26,yellowgreen,o,0.6,30,8.3,6.4,21.2,32.2,3.6,8.6,0,20.6,28.7,3922
sample66,K-31,springgreen,o,0.6,30,7.8,10.3,12.3,13.9,1.5,11.5,0,9.4,16.3,2532
sample67,K-31,springgreen,o,0.6,30,7.8,8.6,15,16.6,1.8,10.8,0,9.8,16,2612
sample68,K-31,springgreen,o,0.6,30,7.8,9.4,11.6,19.5,2.2,11.3,0,9.4,16.4,2706
sample69,K-31,springgreen,o,0.6,30,7.7,3.4,15.6,20.6,2.3,10.7,0,9.8,16,2620
sample70,K-31,springgreen,o,0.6,30,7.6,9.4,12.6,18.3,2,11,0,9.6,16,2673
sample71,P-1,gold,o,0.6,30,7.8,6.6,15.4,21.8,2.4,3,0,9.6,32.9,3077
sample72,P-1,gold,o,0.6,30,7.7,5.2,13.6,22,2.4,3.9,0,8.6,29.9,2963
sample73,P-1,gold,o,0.6,30,7.7,3.2,15.8,23.9,2.7,2.5,0,9.4,32.2,2987
sample74,P-1,gold,o,0.6,30,7.8,6.8,12.8,22.9,2.5,3.6,0,8.8,31.1,3014
sample75,P-2,dodgerblue,o,0.6,30,7.7,6.2,13.4,24,2.7,2.7,0,9.4,34.2,3133
sample76,P-2,dodgerblue,o,0.6,30,7.7,8,12.2,23.3,2.6,5.1,0,8.4,31.4,3114
sample77,P-2,dodgerblue,o,0.6,30,7.9,3.8,19.8,20.1,2.2,2.5,0,9.6,33.7,3017
sample78,P-2,dodgerblue,o,0.6,30,7.8,5.4,16.8,22.6,2.5,4.9,0,9.2,32.1,3148
sample79,P-3,red,o,0.6,30,7.8,1.2,10.4,20.4,2.3,8.4,0,8.1,13.8,2229
sample80,P-3,red,o,0.6,30,7.8,1.6,13,21.5,2.4,13.9,0,7.8,14,2702
sample81,P-3,red,o,0.6,30,7.8,1.4,7.6,27.4,3,13.8,0,8,13,2651
sample82,P-3,red,o,0.6,30,7.6,2.4,10.6,18.8,2.1,12.5,0,3.9,13.1,2259
sample83,P-4,green,o,0.6,30,8.4,9,13.4,21.2,2.4,14.1,0,13.6,13.5,3015
sample84,P-4,green,o,0.6,30,7.5,13.2,8.8,22.8,2.5,16.8,0,13.4,13.3,3413
sample85,P-4,green,o,0.6,30,7.8,2.6,16.6,24.3,2.7,13.8,0,14,13.5,3038
sample86,P-4,green,o,0.6,30,7.9,10.2,15.4,22.2,2.5,16.6,0,14,13.5,3252
sample87,P-5,blue,o,0.6,30,7.7,10,16.6,16.3,1.8,11,0,11.6,10.6,2658
sample88,P-5,blue,o,0.6,30,7.6,13.6,12.6,19,2.1,13.7,0,11.6,10.9,2781
sample89,P-5,blue,o,0.6,30,7.6,6.6,11.6,26.2,2.9,13.2,0,12,10.7,2790
sample90,P-5,blue,o,0.6,30,7.6,12.8,13,18.9,2.1,13.5,0,11.2,10.5,2740
sample91,P-6,yellow,o,0.6,30,7.5,3.2,14.2,16.9,1.9,8.5,0,9.8,14.5,2379
sample92,P-6,yellow,o,0.6,30,7.7,8.4,16.4,14.9,1.7,11.7,0,9.6,14.1,2648
sample93,P-6,yellow,o,0.6,30,7.7,7.2,22.8,39.2,4.4,16,0,12.8,42.4,5024
sample94,P-6,yellow,o,0.6,30,7.7,8.4,15,14.8,1.6,11.3,0,9.2,13.3,2420
sample95,P-7,orange,o,0.6,30,7.7,7,8.8,9.8,1.1,8.6,0,4,14.1,1979
sample96,P-7,orange,o,0.6,30,7.5,3.8,3.4,3.2,0.4,5.6,0,1.8,3.4,995
sample97,P-7,orange,o,0.6,30,7.5,9,18.6,0.2,0,6.8,0,6.2,13.2,1880
sample98,P-7,orange,o,0.6,30,7.9,1.8,2.4,3.8,0.4,4,0,1,3.4,856
sample99,P-8,cyan,o,0.6,30,7.5,12.2,14,8.6,1,5.5,0,6,23.4,2394
sample100,P-8,cyan,o,0.6,30,7.8,12.8,13.4,9.6,1.1,6.3,0,6,23.8,2456
sample101,P-8,cyan,o,0.6,30,7.8,11.6,12,11.4,1.3,5.2,0,6.2,23.8,2435
sample102,P-8,cyan,o,0.6,30,7.7,13.4,12.8,8.8,1,5.7,0,6,23.6,2448
